,Date,Open,High,Low,Close,Volume
0,2015-08-24,285.58,306.2,277.815,299.03,-1
1,2015-08-25,309.64,315.695,294.32,294.595,-1
2,2015-08-26,304.6,305.63,295.625,303.305,-1
3,2015-08-27,310.175,314.845,297.48,314.425,-1
4,2015-08-28,307.235,312.705,307.23,311.335,-1
5,2015-08-31,314.27,314.27,302.05,302.185,-1
6,2015-09-01,295.6,296.815,291.435,294.31,-1
7,2015-09-02,303.77,303.77,294.145,298.27,-1
8,2015-09-03,301.94,301.94,298.185,300.255,-1
9,2015-09-04,295.07,297.635,292.44,294.305,-1
10,2015-09-08,300.305,303.535,296.85,301.48,-1
11,2015-09-09,303.63,306.815,296.145,296.895,-1
12,2015-09-10,297.325,303.685,296.845,301.29,-1
13,2015-09-11,300.48,303.575,299.025,303.46,-1
14,2015-09-14,302.46,304.4,300.3,301.06,-1
15,2015-09-15,303.425,308.685,301.515,308.01,-1
16,2015-09-16,310.385,314.175,307.765,313.41,-1
17,2015-09-17,313.74,316.435,310.52,311.505,-1
18,2015-09-18,305.545,313.485,305.54,308.845,-1
19,2015-09-21,311.325,314.05,309.53,312.93,-1
20,2015-09-22,307.88,307.965,301.635,304.18,-1
21,2015-09-23,303.685,306.81,301.33,303.37,-1
22,2015-09-24,301.55,303.29,299.05,300.525,-1
23,2015-09-25,305.165,307.115,301.155,303.205,-1
24,2015-09-28,308.59,309.56,293.815,294.08,-1
25,2015-09-29,295.41,296.715,291.09,293.38,-1
26,2015-09-30,302.055,302.055,294.41,297.4,-1
27,2015-10-01,298.31,300.395,291.605,295.9,-1
28,2015-10-02,291.555,303.5,288.855,303.135,-1
29,2015-10-05,304.18,314.27,303.325,313.55,-1
30,2015-10-06,311.475,314.79,305.865,313.0,-1
31,2015-10-07,313.48,321.3,312.325,320.56,-1
32,2015-10-08,319.74,319.93,316.685,318.46,-1
33,2015-10-09,324.93,324.93,315.21,317.955,-1
34,2015-10-12,317.57,318.79,311.775,315.535,-1
35,2015-10-13,312.965,317.28,309.745,315.38,-1
36,2015-10-14,321.985,326.34,317.525,322.54,-1
37,2015-10-15,324.785,326.545,320.7,325.78,-1
38,2015-10-16,324.4,331.345,324.385,330.485,-1
39,2015-10-19,330.495,333.71,326.395,327.705,-1
40,2015-10-20,327.78,330.45,325.72,327.48,-1
41,2015-10-21,327.22,328.815,321.705,321.925,-1
42,2015-10-22,319.9,335.835,316.855,335.355,-1
43,2015-10-23,327.445,341.515,323.735,340.8,-1
44,2015-10-26,330.09,340.675,329.095,336.72,-1
45,2015-10-27,335.085,336.295,333.25,335.515,-1
46,2015-10-28,334.49,346.385,330.89,346.335,-1
47,2015-10-29,343.065,350.96,341.46,349.875,-1
48,2015-10-30,353.82,354.555,349.31,351.815,-1
49,2015-11-02,353.71,356.64,348.25,354.365,-1
50,2015-11-03,355.82,359.985,353.68,358.38,-1
51,2015-11-04,358.925,361.29,355.065,357.025,-1
52,2015-11-05,356.605,359.565,350.745,357.225,-1
53,2015-11-06,362.13,364.94,353.825,356.69,-1
54,2015-11-09,357.025,357.17,347.175,349.455,-1
55,2015-11-10,346.545,350.945,344.9,350.94,-1
56,2015-11-11,348.53,353.07,342.675,350.375,-1
57,2015-11-12,346.71,349.75,345.005,345.79,-1
58,2015-11-13,344.305,347.455,342.43,343.27,-1
59,2015-11-16,340.59,352.91,335.92,352.345,-1
60,2015-11-17,351.505,357.9,349.385,353.31,-1
61,2015-11-18,352.12,361.105,350.825,360.705,-1
62,2015-11-19,360.2,361.62,354.09,359.025,-1
63,2015-11-20,357.295,365.64,357.295,362.465,-1
64,2015-11-23,361.81,364.71,357.09,363.19,-1
65,2015-11-24,360.03,362.33,356.66,356.87,-1
66,2015-11-25,353.355,362.19,349.755,360.72,-1
67,2015-11-27,359.81,363.635,354.615,358.765,-1
68,2015-11-30,356.94,364.925,356.76,364.26,-1
69,2015-12-01,364.275,364.965,360.195,361.795,-1
70,2015-12-02,361.14,363.285,356.2,358.68,-1
71,2015-12-03,360.375,362.215,350.17,352.055,-1
72,2015-12-04,350.92,361.635,347.835,360.605,-1
73,2015-12-07,360.04,365.01,353.335,355.37,-1
74,2015-12-08,351.025,354.245,344.83,349.0,-1
75,2015-12-09,347.385,353.32,343.18,344.47,-1
76,2015-12-10,343.105,348.9,339.535,345.16,-1
77,2015-12-11,334.975,341.3,321.02,322.81,-1
78,2015-12-14,322.875,327.785,314.475,319.74,-1
79,2015-12-15,321.165,331.405,319.495,329.375,-1
80,2015-12-16,335.29,335.55,322.985,330.99,-1
81,2015-12-17,330.525,336.165,327.965,330.43,-1
82,2015-12-18,328.49,330.85,321.39,321.39,-1
83,2015-12-21,326.595,329.075,322.47,325.57,-1
84,2015-12-22,325.265,331.305,322.26,330.845,-1
85,2015-12-23,328.23,340.015,328.21,339.595,-1
86,2015-12-24,340.115,341.32,335.28,337.165,-1
87,2015-12-28,332.795,342.875,332.795,342.405,-1
88,2015-12-29,343.925,347.35,341.715,343.435,-1
89,2015-12-30,343.2,345.965,339.875,342.045,-1
90,2015-12-31,333.78,346.0,328.625,340.38,-1
91,2016-01-04,333.99,334.735,328.795,333.115,-1
92,2016-01-05,333.365,336.635,329.255,334.035,-1
93,2016-01-06,329.065,331.96,326.7,330.225,-1
94,2016-01-07,321.745,325.7,312.745,315.615,-1
95,2016-01-08,321.125,321.86,306.915,307.745,-1
96,2016-01-11,313.115,316.67,304.355,308.085,-1
97,2016-01-12,316.33,316.775,307.405,313.895,-1
98,2016-01-13,316.765,318.105,303.52,304.365,-1
99,2016-01-14,313.005,315.32,299.32,310.525,-1
100,2016-01-15,300.925,302.54,290.785,297.015,-1
101,2016-01-19,301.215,301.6,290.575,294.35,-1
102,2016-01-20,287.015,293.975,280.47,291.99,-1
103,2016-01-21,292.43,296.78,289.315,290.15,-1
104,2016-01-22,300.445,301.76,295.185,300.515,-1
105,2016-01-25,294.565,300.5,289.195,289.805,-1
106,2016-01-26,292.51,300.315,290.1,299.155,-1
107,2016-01-27,297.72,310.62,297.145,302.475,-1
108,2016-01-28,308.03,309.315,297.985,299.17,-1
109,2016-01-29,304.92,314.49,301.325,313.995,-1
110,2016-02-01,310.58,316.045,306.39,312.105,-1
111,2016-02-02,301.59,302.755,297.51,301.365,-1
112,2016-02-03,306.8,307.955,290.08,304.37,-1
113,2016-02-04,295.06,316.055,295.06,313.56,-1
114,2016-02-05,310.165,315.53,306.37,307.94,-1
115,2016-02-08,298.34,302.02,289.4,293.56,-1
116,2016-02-09,287.29,297.69,285.25,294.305,-1
117,2016-02-10,296.285,305.8,290.375,298.425,-1
118,2016-02-11,290.08,297.47,288.315,294.415,-1
119,2016-02-12,300.715,307.42,297.07,306.725,-1
120,2016-02-16,310.49,315.63,309.18,314.42,-1
121,2016-02-17,317.38,321.775,316.605,319.63,-1
122,2016-02-18,320.33,320.63,314.265,315.99,-1
123,2016-02-19,308.085,316.39,307.385,314.22,-1
124,2016-02-22,318.525,321.875,312.205,316.335,-1
125,2016-02-23,307.46,317.45,306.31,309.63,-1
126,2016-02-24,296.96,309.915,296.96,307.755,-1
127,2016-02-25,308.725,313.825,303.805,313.525,-1
128,2016-02-26,316.755,318.945,312.105,313.85,-1
129,2016-02-29,312.455,315.575,311.035,311.66,-1
130,2016-03-01,315.955,323.15,313.695,322.495,-1
131,2016-03-02,320.77,327.23,318.355,326.59,-1
132,2016-03-03,320.835,326.925,319.435,323.335,-1
133,2016-03-04,316.58,326.85,315.695,324.185,-1
134,2016-03-07,315.425,327.7,311.785,326.825,-1
135,2016-03-08,319.975,324.995,316.85,320.265,-1
136,2016-03-09,325.91,328.415,320.85,328.355,-1
137,2016-03-10,325.875,331.625,320.01,324.95,-1
138,2016-03-11,330.45,340.15,326.805,339.555,-1
139,2016-03-14,340.135,341.64,334.005,337.65,-1
140,2016-03-15,326.845,335.785,326.845,334.155,-1
141,2016-03-16,326.465,335.725,323.645,334.23,-1
142,2016-03-17,333.375,344.685,330.89,341.855,-1
143,2016-03-18,341.27,346.85,339.425,342.53,-1
144,2016-03-21,342.355,346.25,338.885,341.815,-1
145,2016-03-22,332.365,343.275,329.345,340.41,-1
146,2016-03-23,332.695,341.77,327.94,339.395,-1
147,2016-03-24,321.585,336.16,321.475,334.275,-1
148,2016-03-28,336.14,338.65,333.36,336.77,-1
149,2016-03-29,335.38,340.445,331.82,340.02,-1
150,2016-03-30,345.37,345.535,340.115,341.495,-1
151,2016-03-31,341.32,344.23,339.36,340.335,-1
152,2016-04-01,334.33,344.605,331.655,342.3,-1
153,2016-04-04,342.21,343.24,336.18,338.555,-1
154,2016-04-05,334.98,336.71,331.61,334.875,-1
155,2016-04-06,330.965,339.165,326.305,337.22,-1
156,2016-04-07,330.595,335.715,326.93,328.355,-1
157,2016-04-08,336.09,336.09,329.56,331.685,-1
158,2016-04-11,334.715,337.29,331.42,333.095,-1
