,Date,Open,High,Low,Close,Volume
0,2015-08-24,88.855,92.3,87.55,89.555,-1
1,2015-08-25,92.215,92.495,86.435,86.53,-1
2,2015-08-26,88.69,89.65,87.4,89.445,-1
3,2015-08-27,89.185,94.045,89.185,93.315,-1
4,2015-08-28,92.74,95.335,92.74,94.535,-1
5,2015-08-31,93.95,94.135,92.575,92.715,-1
6,2015-09-01,90.545,91.195,89.305,89.72,-1
7,2015-09-02,91.05,91.525,89.825,91.505,-1
8,2015-09-03,91.715,92.42,90.955,91.35,-1
9,2015-09-04,90.15,91.125,89.68,90.325,-1
10,2015-09-08,91.99,93.31,91.96,93.135,-1
11,2015-09-09,93.855,94.0,91.96,92.125,-1
12,2015-09-10,90.24,93.39,90.24,93.12,-1
13,2015-09-11,92.51,93.37,91.77,92.535,-1
14,2015-09-14,92.53,92.875,92.145,92.58,-1
15,2015-09-15,92.71,94.5,91.975,94.35,-1
16,2015-09-16,94.535,96.34,94.3,95.305,-1
17,2015-09-17,97.27,98.715,95.14,96.635,-1
18,2015-09-18,94.96,96.435,94.135,94.49,-1
19,2015-09-21,94.95,96.54,94.485,94.825,-1
20,2015-09-22,93.38,93.79,91.245,91.76,-1
21,2015-09-23,91.835,91.93,90.62,91.485,-1
22,2015-09-24,90.49,91.055,89.63,90.23,-1
23,2015-09-25,91.055,91.795,90.205,91.025,-1
24,2015-09-28,90.55,91.28,88.46,88.82,-1
25,2015-09-29,88.905,89.205,87.59,88.115,-1
26,2015-09-30,88.725,90.94,88.725,90.865,-1
27,2015-10-01,90.97,93.215,90.97,93.19,-1
28,2015-10-02,91.885,94.185,91.385,94.17,-1
29,2015-10-05,94.635,95.86,94.22,95.57,-1
30,2015-10-06,95.495,96.35,95.0,95.64,-1
31,2015-10-07,96.15,97.93,95.175,96.69,-1
32,2015-10-08,96.405,98.82,96.385,98.46,-1
33,2015-10-09,98.56,100.385,97.505,97.89,-1
34,2015-10-12,97.73,98.185,95.725,98.0,-1
35,2015-10-13,96.735,97.825,96.075,96.165,-1
36,2015-10-14,95.915,96.805,94.59,96.39,-1
37,2015-10-15,96.84,98.53,96.47,98.0,-1
38,2015-10-16,95.425,95.445,86.41,87.37,-1
39,2015-10-19,86.765,88.395,85.695,86.65,-1
40,2015-10-20,86.645,88.97,85.8,88.695,-1
41,2015-10-21,88.92,89.295,87.29,87.385,-1
42,2015-10-22,87.895,88.5,85.89,86.155,-1
43,2015-10-23,86.565,86.94,84.345,86.1,-1
44,2015-10-26,85.935,87.15,85.875,85.88,-1
45,2015-10-27,85.46,85.46,81.545,82.14,-1
46,2015-10-28,82.37,84.175,82.37,83.585,-1
47,2015-10-29,83.35,84.34,83.11,84.115,-1
48,2015-10-30,84.355,84.495,82.645,82.755,-1
49,2015-11-02,82.91,84.925,82.285,84.675,-1
50,2015-11-03,84.255,86.835,84.255,86.585,-1
51,2015-11-04,86.225,87.44,85.835,87.08,-1
52,2015-11-05,87.135,90.37,86.315,88.535,-1
53,2015-11-06,88.36,89.43,87.455,87.625,-1
54,2015-11-09,87.57,91.58,86.005,89.845,-1
55,2015-11-10,89.755,90.47,88.915,89.56,-1
56,2015-11-11,89.89,89.915,88.115,88.795,-1
57,2015-11-12,88.235,88.815,87.11,87.725,-1
58,2015-11-13,87.445,88.26,87.1,87.455,-1
59,2015-11-16,87.45,88.56,86.525,87.975,-1
60,2015-11-17,88.37,88.96,85.97,88.255,-1
61,2015-11-18,89.025,92.5,89.025,92.32,-1
62,2015-11-19,92.35,94.115,91.92,93.655,-1
63,2015-11-20,93.82,94.755,92.76,93.61,-1
64,2015-11-23,93.23,93.765,91.72,91.83,-1
65,2015-11-24,92.35,92.35,90.985,91.435,-1
66,2015-11-25,91.46,92.1,91.105,91.395,-1
67,2015-11-27,91.675,92.72,90.465,92.28,-1
68,2015-11-30,92.555,92.655,90.75,90.87,-1
69,2015-12-01,91.255,91.96,90.555,91.625,-1
70,2015-12-02,91.36,91.36,83.93,85.135,-1
71,2015-12-03,84.92,85.865,81.545,82.655,-1
72,2015-12-04,81.0,82.435,80.57,81.98,-1
73,2015-12-07,81.585,81.95,79.335,79.46,-1
74,2015-12-08,78.67,78.67,76.635,76.725,-1
75,2015-12-09,76.545,77.36,75.16,76.11,-1
76,2015-12-10,76.0,76.815,74.525,74.675,-1
77,2015-12-11,74.84,75.685,74.155,74.61,-1
78,2015-12-14,74.745,75.36,73.23,74.095,-1
79,2015-12-15,74.385,74.945,73.035,73.74,-1
80,2015-12-16,74.385,76.05,73.595,75.86,-1
81,2015-12-17,75.865,76.375,71.855,71.93,-1
82,2015-12-18,71.785,71.785,69.79,69.985,-1
83,2015-12-21,70.545,70.96,69.72,70.09,-1
84,2015-12-22,70.385,72.385,70.155,71.885,-1
85,2015-12-23,71.895,74.19,71.895,73.79,-1
86,2015-12-24,72.915,74.295,72.91,73.72,-1
87,2015-12-28,73.495,74.055,72.915,73.555,-1
88,2015-12-29,71.905,74.855,71.905,74.425,-1
89,2015-12-30,74.115,74.895,73.38,74.265,-1
90,2015-12-31,73.64,76.0,73.285,74.65,-1
91,2016-01-04,73.41,74.555,72.835,73.73,-1
92,2016-01-05,73.865,74.3,73.18,73.985,-1
93,2016-01-06,72.75,73.885,70.385,70.595,-1
94,2016-01-07,69.65,70.45,68.955,69.155,-1
95,2016-01-08,69.605,70.405,68.79,69.75,-1
96,2016-01-11,70.125,70.505,68.67,69.765,-1
97,2016-01-12,70.285,71.41,69.54,71.3,-1
98,2016-01-13,70.965,71.7,67.725,68.335,-1
99,2016-01-14,68.795,69.855,67.285,68.415,-1
100,2016-01-15,67.48,68.065,66.385,67.635,-1
101,2016-01-19,68.435,68.74,65.395,65.845,-1
102,2016-01-20,64.94,65.37,62.235,64.345,-1
103,2016-01-21,63.12,65.045,62.225,64.525,-1
104,2016-01-22,69.735,72.225,66.03,67.385,-1
105,2016-01-25,67.16,67.23,64.585,65.215,-1
106,2016-01-26,65.665,68.12,65.455,67.48,-1
107,2016-01-27,66.895,68.845,66.525,67.05,-1
108,2016-01-28,67.845,69.915,67.745,69.34,-1
109,2016-01-29,68.95,71.725,67.5,70.915,-1
110,2016-02-01,68.885,72.535,68.885,72.28,-1
111,2016-02-02,71.64,71.885,69.935,70.005,-1
112,2016-02-03,69.91,71.385,69.585,71.385,-1
113,2016-02-04,71.065,76.32,71.055,75.725,-1
114,2016-02-05,75.245,76.535,74.91,75.745,-1
115,2016-02-08,74.735,77.835,73.515,77.27,-1
116,2016-02-09,76.78,79.58,76.07,78.655,-1
117,2016-02-10,78.97,79.895,77.25,78.255,-1
118,2016-02-11,76.825,78.105,75.42,77.56,-1
119,2016-02-12,78.47,79.965,77.465,79.38,-1
120,2016-02-16,80.075,81.17,78.985,80.63,-1
121,2016-02-17,80.775,82.74,80.75,82.66,-1
122,2016-02-18,82.73,82.9,79.975,80.51,-1
123,2016-02-19,80.065,82.8,79.6,82.68,-1
124,2016-02-22,81.925,84.75,81.925,83.0,-1
125,2016-02-23,80.18,82.435,80.15,81.3,-1
126,2016-02-24,80.41,81.405,79.095,81.16,-1
127,2016-02-25,81.26,82.475,79.835,82.355,-1
128,2016-02-26,83.01,85.27,82.69,83.935,-1
129,2016-02-29,83.675,83.755,81.55,81.695,-1
130,2016-03-01,82.475,84.895,82.01,84.41,-1
131,2016-03-02,84.54,85.625,83.855,85.54,-1
132,2016-03-03,85.585,86.685,84.485,86.44,-1
133,2016-03-04,86.535,88.01,85.615,86.65,-1
134,2016-03-07,86.295,86.565,84.845,86.515,-1
135,2016-03-08,84.935,86.35,83.305,83.79,-1
136,2016-03-09,84.13,84.8,82.95,83.42,-1
137,2016-03-10,83.595,85.315,81.44,82.43,-1
138,2016-03-11,83.18,85.405,82.73,85.31,-1
139,2016-03-14,85.115,86.42,84.535,86.055,-1
140,2016-03-15,84.875,85.195,82.8,84.595,-1
141,2016-03-16,82.45,85.62,82.45,84.915,-1
142,2016-03-17,84.165,87.465,84.165,87.365,-1
143,2016-03-18,85.325,88.875,85.325,87.525,-1
144,2016-03-21,87.38,88.135,86.31,86.525,-1
145,2016-03-22,85.91,86.15,85.06,85.44,-1
146,2016-03-23,85.18,86.23,84.59,85.365,-1
147,2016-03-24,84.77,85.39,83.625,84.93,-1
148,2016-03-28,85.005,85.11,83.1,83.905,-1
149,2016-03-29,83.605,85.395,82.845,85.31,-1
150,2016-03-30,83.985,86.245,83.985,85.805,-1
151,2016-03-31,85.875,85.875,84.37,85.445,-1
152,2016-04-01,83.305,86.03,83.025,85.81,-1
153,2016-04-04,85.72,87.095,85.28,85.96,-1
154,2016-04-05,85.09,87.06,84.535,86.59,-1
155,2016-04-06,86.685,86.685,83.84,85.88,-1
156,2016-04-07,85.19,86.025,84.025,85.265,-1
157,2016-04-08,85.655,88.785,85.51,87.87,-1
158,2016-04-11,87.125,89.985,87.125,87.985,-1
159,2016-04-12,88.87,89.21,86.72,87.44,-1
160,2016-04-13,88.355,91.11,87.445,90.56,-1
161,2016-04-14,90.595,91.795,89.585,91.175,-1
162,2016-04-15,91.38,91.95,90.745,91.45,-1
163,2016-04-18,92.75,93.08,89.975,91.5,-1
164,2016-04-19,95.475,96.155,93.18,96.03,-1
165,2016-04-20,97.76,98.105,95.38,96.475,-1
166,2016-04-21,95.56,97.595,95.56,96.9,-1
167,2016-04-22,97.39,98.99,97.22,98.245,-1
168,2016-04-25,97.98,97.98,96.125,96.905,-1
169,2016-04-26,97.445,97.85,96.005,97.02,-1
170,2016-04-27,96.29,98.15,96.29,97.755,-1
171,2016-04-28,96.64,97.75,95.645,96.04,-1
172,2016-04-29,95.76,97.075,93.79,94.73,-1
173,2016-05-02,95.135,95.78,94.12,95.245,-1
174,2016-05-03,94.42,94.66,92.25,93.58,-1
175,2016-05-04,93.155,93.93,92.275,93.05,-1
176,2016-05-05,94.62,94.62,92.285,92.35,-1
177,2016-05-06,91.935,93.475,91.245,93.17,-1
178,2016-05-09,95.305,95.305,91.38,91.505,-1
179,2016-05-10,91.895,93.73,91.895,93.17,-1
180,2016-05-11,95.415,95.415,91.74,91.765,-1
181,2016-05-12,93.735,94.51,89.045,90.19,-1
182,2016-05-13,90.63,90.915,87.275,87.96,-1
183,2016-05-16,89.05,89.305,87.72,88.765,-1
184,2016-05-17,87.735,91.85,87.595,90.175,-1
185,2016-05-18,91.725,92.225,88.735,91.5,-1
186,2016-05-19,92.095,92.095,88.755,90.5,-1
187,2016-05-20,92.77,92.77,90.5,91.06,-1
188,2016-05-23,91.085,91.595,90.33,90.585,-1
189,2016-05-24,92.74,92.775,89.52,91.02,-1
190,2016-05-25,91.175,93.61,90.86,93.455,-1
191,2016-05-26,95.235,95.235,92.525,93.41,-1
192,2016-05-27,93.475,93.655,92.395,93.37,-1
193,2016-05-31,93.415,94.57,92.79,93.1,-1
194,2016-06-01,91.4,92.45,90.84,92.375,-1
195,2016-06-02,92.105,92.375,91.235,91.785,-1
196,2016-06-03,90.3,92.27,90.3,91.895,-1
197,2016-06-06,92.375,92.55,90.435,91.335,-1
198,2016-06-07,92.715,93.265,91.39,91.865,-1
199,2016-06-08,94.335,94.335,91.97,92.795,-1
200,2016-06-09,92.97,93.405,89.04,90.17,-1
201,2016-06-10,87.75,89.365,87.75,88.475,-1
202,2016-06-13,87.575,90.56,87.425,89.37,-1
203,2016-06-14,88.24,90.745,87.54,88.705,-1
204,2016-06-15,88.34,89.91,87.195,87.33,-1
205,2016-06-16,86.785,87.51,85.67,87.325,-1
206,2016-06-17,86.545,89.095,86.545,88.01,-1
207,2016-06-20,88.96,90.635,88.345,89.32,-1
