,Date,Open,High,Low,Close,Volume
0,2015-08-24,69.505,70.365,66.7,67.185,-1
1,2015-08-25,51.67,69.69,51.67,65.255,-1
2,2015-08-26,68.315,68.315,65.665,68.005,-1
3,2015-08-27,69.19,70.275,68.31,70.065,-1
4,2015-08-28,67.89,70.18,67.885,70.125,-1
5,2015-08-31,67.765,70.13,67.765,69.835,-1
6,2015-09-01,66.925,68.59,66.925,68.005,-1
7,2015-09-02,70.615,70.615,67.785,68.935,-1
8,2015-09-03,67.35,70.4,67.35,69.44,-1
9,2015-09-04,66.77,68.77,66.77,68.29,-1
10,2015-09-08,69.52,70.63,69.255,70.535,-1
11,2015-09-09,69.325,71.78,69.325,69.675,-1
12,2015-09-10,67.8,70.255,67.8,69.91,-1
13,2015-09-11,69.605,70.625,69.005,70.025,-1
14,2015-09-14,68.605,70.335,68.605,70.01,-1
15,2015-09-15,69.93,70.97,69.855,70.785,-1
16,2015-09-16,69.15,70.905,69.15,70.79,-1
17,2015-09-17,70.6,71.795,69.225,69.41,-1
18,2015-09-18,67.495,68.56,66.91,67.105,-1
19,2015-09-21,65.785,68.455,65.785,68.375,-1
20,2015-09-22,68.14,68.2,66.785,67.355,-1
21,2015-09-23,67.315,67.735,66.44,67.49,-1
22,2015-09-24,69.08,69.08,66.07,67.125,-1
23,2015-09-25,65.82,69.45,65.82,69.055,-1
24,2015-09-28,70.52,70.52,66.995,67.155,-1
25,2015-09-29,67.295,67.43,66.205,67.255,-1
26,2015-09-30,65.965,68.25,65.965,68.15,-1
27,2015-10-01,69.975,69.975,67.42,68.215,-1
28,2015-10-02,67.14,67.41,64.755,67.375,-1
29,2015-10-05,69.095,69.095,67.43,68.77,-1
30,2015-10-06,68.77,68.805,67.015,68.355,-1
31,2015-10-07,68.545,69.3,66.95,69.02,-1
32,2015-10-08,68.835,69.32,67.205,69.13,-1
33,2015-10-09,68.08,69.42,67.76,68.47,-1
34,2015-10-12,67.985,68.99,67.985,68.81,-1
35,2015-10-13,69.19,69.195,68.175,68.445,-1
