,Date,Open,High,Low,Close,Volume
0,2015-08-24,85.585,90.38,82.955,88.825,-1
1,2015-08-25,91.325,91.475,85.785,85.865,-1
2,2015-08-26,89.945,89.945,85.945,89.055,-1
3,2015-08-27,90.25,91.395,89.61,91.33,-1
4,2015-08-28,89.53,91.91,89.53,91.23,-1
5,2015-08-31,90.305,91.49,90.16,91.14,-1
6,2015-09-01,88.95,89.68,86.585,87.17,-1
7,2015-09-02,88.885,89.81,87.715,88.945,-1
8,2015-09-03,89.525,90.57,89.04,89.515,-1
9,2015-09-04,88.6,88.755,87.055,87.66,-1
10,2015-09-08,89.77,91.03,89.215,90.96,-1
11,2015-09-09,93.695,93.775,89.745,89.935,-1
12,2015-09-10,89.81,91.205,89.37,90.51,-1
13,2015-09-11,89.555,90.39,88.29,90.335,-1
14,2015-09-14,90.22,91.375,90.035,90.66,-1
15,2015-09-15,90.985,92.34,90.74,91.99,-1
16,2015-09-16,91.93,91.95,90.65,91.77,-1
17,2015-09-17,90.775,92.665,89.415,89.815,-1
18,2015-09-18,88.43,88.635,87.09,87.41,-1
19,2015-09-21,87.925,89.35,87.885,88.865,-1
20,2015-09-22,87.52,88.32,87.065,87.76,-1
21,2015-09-23,87.485,90.28,86.94,87.955,-1
22,2015-09-24,86.8,88.17,86.59,87.805,-1
23,2015-09-25,88.835,90.035,88.835,89.305,-1
24,2015-09-28,86.685,88.98,86.455,87.33,-1
25,2015-09-29,87.575,88.245,86.99,87.825,-1
26,2015-09-30,88.82,89.5,88.205,89.175,-1
27,2015-10-01,89.035,91.335,88.04,89.06,-1
28,2015-10-02,86.05,88.265,84.92,88.24,-1
29,2015-10-05,88.595,90.955,88.595,90.605,-1
30,2015-10-06,90.515,90.85,89.86,89.95,-1
31,2015-10-07,90.29,91.51,89.825,90.54,-1
32,2015-10-08,90.41,91.09,89.965,90.965,-1
33,2015-10-09,91.075,91.3,89.57,89.83,-1
34,2015-10-12,91.52,91.52,89.26,89.68,-1
35,2015-10-13,86.83,89.405,86.065,88.65,-1
36,2015-10-14,87.535,88.295,85.875,86.165,-1
37,2015-10-15,86.63,87.385,86.085,87.23,-1
38,2015-10-16,87.73,88.22,87.045,87.61,-1
39,2015-10-19,87.085,87.915,86.485,86.705,-1
40,2015-10-20,86.6,88.27,86.595,88.025,-1
41,2015-10-21,88.865,89.065,87.485,87.525,-1
42,2015-10-22,87.945,90.17,87.945,89.485,-1
43,2015-10-23,88.61,91.385,88.61,91.27,-1
44,2015-10-26,90.845,91.465,90.125,90.305,-1
45,2015-10-27,90.35,91.01,87.7,89.655,-1
46,2015-10-28,89.79,93.105,89.615,92.91,-1
47,2015-10-29,90.85,93.615,90.76,92.135,-1
48,2015-10-30,92.16,92.16,90.01,90.29,-1
49,2015-11-02,89.515,92.21,89.425,91.915,-1
50,2015-11-03,91.74,92.275,91.185,91.76,-1
51,2015-11-04,91.87,92.655,91.855,92.255,-1
52,2015-11-05,93.13,93.575,92.01,92.64,-1
53,2015-11-06,95.68,96.115,94.66,95.22,-1
54,2015-11-09,94.61,95.89,93.985,94.64,-1
55,2015-11-10,94.3,95.36,93.765,95.335,-1
56,2015-11-11,95.6,96.09,94.955,95.09,-1
57,2015-11-12,94.565,94.86,93.195,93.21,-1
58,2015-11-13,92.89,93.68,91.77,92.325,-1
59,2015-11-16,92.055,93.37,91.8,93.34,-1
60,2015-11-17,93.855,94.82,91.82,93.255,-1
61,2015-11-18,94.44,95.24,92.84,95.1,-1
62,2015-11-19,94.02,95.58,94.02,95.095,-1
63,2015-11-20,95.43,95.82,94.98,95.385,-1
